path,classification,wp_status,wp_final_url,wp_canonical_path,clone_status,clone_final_url,clone_canonical_path,clone_noindex,redirect_chain_length,suggested_redirect_target
/?nlmsf_news_tracker=nlmsf-news-tracker-18,redirected_path_change,200,https://nlmsf.org/?nlmsf_news_tracker=nlmsf-news-tracker-18,/,200,https://nlmsf-clone.netlify.app/?nlmsf_news_tracker=nlmsf-news-tracker-18,,no,1,/
/?nlmsf_news_tracker=nlmsf-news-tracker-19,redirected_path_change,200,https://nlmsf.org/?nlmsf_news_tracker=nlmsf-news-tracker-19,/,200,https://nlmsf-clone.netlify.app/?nlmsf_news_tracker=nlmsf-news-tracker-19,,no,1,/
/?nlmsf_news_tracker=nlmsf-news-tracker-2,redirected_path_change,200,https://nlmsf.org/?nlmsf_news_tracker=nlmsf-news-tracker-2,/,200,https://nlmsf-clone.netlify.app/?nlmsf_news_tracker=nlmsf-news-tracker-2,,no,1,/
/?nlmsf_news_tracker=nlmsf-news-tracker-20,redirected_path_change,200,https://nlmsf.org/?nlmsf_news_tracker=nlmsf-news-tracker-20,/,200,https://nlmsf-clone.netlify.app/?nlmsf_news_tracker=nlmsf-news-tracker-20,,no,1,/
/?nlmsf_news_tracker=nlmsf-news-tracker-21,redirected_path_change,200,https://nlmsf.org/?nlmsf_news_tracker=nlmsf-news-tracker-21,/,200,https://nlmsf-clone.netlify.app/?nlmsf_news_tracker=nlmsf-news-tracker-21,,no,1,/
/?nlmsf_news_tracker=nlmsf-news-tracker-22,redirected_path_change,200,https://nlmsf.org/?nlmsf_news_tracker=nlmsf-news-tracker-22,/,200,https://nlmsf-clone.netlify.app/?nlmsf_news_tracker=nlmsf-news-tracker-22,,no,1,/
/?nlmsf_news_tracker=nlmsf-news-tracker-23,redirected_path_change,200,https://nlmsf.org/?nlmsf_news_tracker=nlmsf-news-tracker-23,/,200,https://nlmsf-clone.netlify.app/?nlmsf_news_tracker=nlmsf-news-tracker-23,,no,1,/
/?nlmsf_news_tracker=nlmsf-news-tracker-24,redirected_path_change,200,https://nlmsf.org/?nlmsf_news_tracker=nlmsf-news-tracker-24,/,200,https://nlmsf-clone.netlify.app/?nlmsf_news_tracker=nlmsf-news-tracker-24,,no,1,/
/?nlmsf_news_tracker=nlmsf-news-tracker-25,redirected_path_change,200,https://nlmsf.org/?nlmsf_news_tracker=nlmsf-news-tracker-25,/,200,https://nlmsf-clone.netlify.app/?nlmsf_news_tracker=nlmsf-news-tracker-25,,no,1,/
/?nlmsf_news_tracker=nlmsf-news-tracker-3,redirected_path_change,200,https://nlmsf.org/?nlmsf_news_tracker=nlmsf-news-tracker-3,/,200,https://nlmsf-clone.netlify.app/?nlmsf_news_tracker=nlmsf-news-tracker-3,,no,1,/
/?nlmsf_news_tracker=nlmsf-news-tracker-4,redirected_path_change,200,https://nlmsf.org/?nlmsf_news_tracker=nlmsf-news-tracker-4,/,200,https://nlmsf-clone.netlify.app/?nlmsf_news_tracker=nlmsf-news-tracker-4,,no,1,/
/?nlmsf_news_tracker=nlmsf-news-tracker-5,redirected_path_change,200,https://nlmsf.org/?nlmsf_news_tracker=nlmsf-news-tracker-5,/,200,https://nlmsf-clone.netlify.app/?nlmsf_news_tracker=nlmsf-news-tracker-5,,no,1,/
/?nlmsf_news_tracker=nlmsf-news-tracker-6,redirected_path_change,200,https://nlmsf.org/?nlmsf_news_tracker=nlmsf-news-tracker-6,/,200,https://nlmsf-clone.netlify.app/?nlmsf_news_tracker=nlmsf-news-tracker-6,,no,1,/
/?nlmsf_news_tracker=nlmsf-news-tracker-7,redirected_path_change,200,https://nlmsf.org/?nlmsf_news_tracker=nlmsf-news-tracker-7,/,200,https://nlmsf-clone.netlify.app/?nlmsf_news_tracker=nlmsf-news-tracker-7,,no,1,/
/?nlmsf_news_tracker=nlmsf-news-tracker-8,redirected_path_change,200,https://nlmsf.org/?nlmsf_news_tracker=nlmsf-news-tracker-8,/,200,https://nlmsf-clone.netlify.app/?nlmsf_news_tracker=nlmsf-news-tracker-8,,no,1,/
/?nlmsf_news_tracker=nlmsf-news-tracker-9,redirected_path_change,200,https://nlmsf.org/?nlmsf_news_tracker=nlmsf-news-tracker-9,/,200,https://nlmsf-clone.netlify.app/?nlmsf_news_tracker=nlmsf-news-tracker-9,,no,1,/
/?nlmsf_news_tracker=nlmsf-sarcoma-community-connection,redirected_path_change,200,https://nlmsf.org/?nlmsf_news_tracker=nlmsf-sarcoma-community-connection,/,200,https://nlmsf-clone.netlify.app/?nlmsf_news_tracker=nlmsf-sarcoma-community-connection,,no,1,/
/?nlmsf_snapshot=nlmsf-lms-sarcoma-snapshot-news,redirected_path_change,200,https://nlmsf.org/?nlmsf_snapshot=nlmsf-lms-sarcoma-snapshot-news,/,200,https://nlmsf-clone.netlify.app/?nlmsf_snapshot=nlmsf-lms-sarcoma-snapshot-news,,no,1,/
/?nlmsf_snapshot=nlmsf-lms-sarcoma-snapshot-news-december-13-2025,redirected_path_change,200,https://nlmsf.org/?nlmsf_snapshot=nlmsf-lms-sarcoma-snapshot-news-december-13-2025,/,200,https://nlmsf-clone.netlify.app/?nlmsf_snapshot=nlmsf-lms-sarcoma-snapshot-news-december-13-2025,,no,1,/
/?nlmsf_snapshot=nlmsf-sarcoma-snapshot-news,redirected_path_change,200,https://nlmsf.org/?nlmsf_snapshot=nlmsf-sarcoma-snapshot-news,/,200,https://nlmsf-clone.netlify.app/?nlmsf_snapshot=nlmsf-sarcoma-snapshot-news,,no,1,/
/?nlmsf_snapshot=nlmsf-updates-patient-support-highlights,redirected_path_change,200,https://nlmsf.org/?nlmsf_snapshot=nlmsf-updates-patient-support-highlights,/,200,https://nlmsf-clone.netlify.app/?nlmsf_snapshot=nlmsf-updates-patient-support-highlights,,no,1,/
/?nlmsf_snapshot=patient-resources-community-support,redirected_path_change,200,https://nlmsf.org/?nlmsf_snapshot=patient-resources-community-support,/,200,https://nlmsf-clone.netlify.app/?nlmsf_snapshot=patient-resources-community-support,,no,1,/
/?nlmsf_snapshot=sarcoma-coalition-community-events-research-updates,redirected_path_change,200,https://nlmsf.org/?nlmsf_snapshot=sarcoma-coalition-community-events-research-updates,/,200,https://nlmsf-clone.netlify.app/?nlmsf_snapshot=sarcoma-coalition-community-events-research-updates,,no,1,/
/?nlmsf_snapshot=special-edition-in-memory-of-dr-brian-van-tine,redirected_path_change,200,https://nlmsf.org/?nlmsf_snapshot=special-edition-in-memory-of-dr-brian-van-tine,/,200,https://nlmsf-clone.netlify.app/?nlmsf_snapshot=special-edition-in-memory-of-dr-brian-van-tine,,no,1,/
/%E2%80%93%20%20http:/randal.sg-host.com/patient-caregiver-advocacy,missing_on_clone,200,https://nlmsf.org/patient-caregiver-advocacy/,/patient-caregiver-advocacy,404,https://nlmsf-clone.netlify.app/%E2%80%93%20%20http:/randal.sg-host.com/patient-caregiver-advocacy/,,yes,2,
/2023-accountability-report,ok,200,https://nlmsf.org/2023-accountability-report/,/2023-accountability-report,200,https://nlmsf-clone.netlify.app/2023-accountability-report/,,no,2,
