Page URL with Redirect Link,Redirect Type,Length,Initial Redirect URL,Status code of Initial Redirect URL,Final Destination URL,URL 2,Status code of URL 2,URL 3,Status code of URL 3,URL 4,Status code of URL 4,URL 5,Status code of URL 5,URL 6,Status code of URL 6,Discovered
https://nlmsf.org/leiomyosarcoma-support-group/,chain,4,https://nlmsf.org/connect-with-clinician,308,https://nlmsf.org/find-a-sarcoma-specialist/,https://nlmsf.org/connect-with-clinician/,308,https://nlmsf.org/find-a-sarcoma-specialist,308,https://nlmsf.org/find-a-sarcoma-specialist/,200,,,,,15 Mar 2026 (00:18 UTC)
https://nlmsf.org/leiomyosarcoma-support-group/,chain,4,https://nlmsf.org/research-recordings,308,https://nlmsf.org/events/,https://nlmsf.org/research-recordings/,308,https://nlmsf.org/events,308,https://nlmsf.org/events/,200,,,,,15 Mar 2026 (00:18 UTC)
https://nlmsf.org/leiomyosarcoma-support-group/,chain,4,https://nlmsf.org/survivorship-care,308,https://nlmsf.org/survivorship-care-planning-2/,https://nlmsf.org/survivorship-care/,308,https://nlmsf.org/survivorship-care-planning-2,308,https://nlmsf.org/survivorship-care-planning-2/,200,,,,,15 Mar 2026 (00:18 UTC)
https://nlmsf.org/leiomyosarcoma-support-group/,chain,4,https://nlmsf.org/podcasts-wellbeing,308,https://nlmsf.org/sarcoma-sound-bytes/,https://nlmsf.org/podcasts-wellbeing/,308,https://nlmsf.org/sarcoma-sound-bytes,308,https://nlmsf.org/sarcoma-sound-bytes/,200,,,,,15 Mar 2026 (00:18 UTC)
https://nlmsf.org/leiomyosarcoma-support-group/,chain,4,https://nlmsf.org/caregiver-workshops,308,https://nlmsf.org/caregivers-corner/,https://nlmsf.org/caregiver-workshops/,308,https://nlmsf.org/caregivers-corner,308,https://nlmsf.org/caregivers-corner/,200,,,,,15 Mar 2026 (00:18 UTC)
https://nlmsf.org/leiomyosarcoma-support-group/,chain,4,https://nlmsf.org/clinical-trials-perspective,308,https://nlmsf.org/clinical-trials-research-information/,https://nlmsf.org/clinical-trials-perspective/,308,https://nlmsf.org/clinical-trials-research-information,308,https://nlmsf.org/clinical-trials-research-information/,200,,,,,15 Mar 2026 (00:18 UTC)
https://nlmsf.org/leiomyosarcoma-support-group/,chain,4,https://nlmsf.org/lms-live,308,https://nlmsf.org/events/,https://nlmsf.org/lms-live/,308,https://nlmsf.org/events,308,https://nlmsf.org/events/,200,,,,,15 Mar 2026 (00:18 UTC)
https://nlmsf.org/leiomyosarcoma-support-group/,chain,4,https://nlmsf.org/symposia,308,https://nlmsf.org/events/,https://nlmsf.org/symposia/,308,https://nlmsf.org/events,308,https://nlmsf.org/events/,200,,,,,15 Mar 2026 (00:18 UTC)
https://nlmsf.org/volunteer/,chain,4,https://nlmsf.org/patient-education,308,https://nlmsf.org/events/,https://nlmsf.org/patient-education/,308,https://nlmsf.org/events,308,https://nlmsf.org/events/,200,,,,,15 Mar 2026 (00:18 UTC)
