URL,Anchor Text,Status Code,Status Text
"https://wordpress.org/","A WordPress Commenter","200","OK"
"https://leiomyosarcoma.info/2017/07/10/wordpress-resources-at-siteground/#comment-1","WordPress Resources at SiteGround","200","OK"
"https://leiomyosarcoma.info/2020/05/","May 2020","200","OK"
"https://leiomyosarcoma.info/2020/04/","April 2020","200","OK"
"https://leiomyosarcoma.info/2019/06/","June 2019","200","OK"
"https://leiomyosarcoma.info/2017/07/","July 2017","200","OK"
"https://leiomyosarcoma.info/category/uncategorized/","Uncategorized","200","OK"
"https://leiomyosarcoma.info/wp-login.php?action=register","Register","200","OK"
"https://leiomyosarcoma.info/wp-login.php","Log in","200","OK"
"https://leiomyosarcoma.info/feed/","Entries feed","200","OK"
"https://leiomyosarcoma.info/comments/feed/","Comments feed","200","OK"
"https://wordpress.org/","WordPress.org","200","OK"
"https://www.facebook.com/NationalLMSFoundation","","200","OK"
"https://siteorigin.com/","SiteOrigin","200","OK"
"https://leiomyosarcoma.info/direct-access-to-clinical-trial-site-links-by-sarcoma-centers/#","","200","OK"
"http://gmpg.org/xfn/11","profile","200","OK"
"https://leiomyosarcoma.info/direct-access-to-clinical-trial-site-links-by-sarcoma-centers/","canonical","200","OK"
"https://leiomyosarcoma.info/feed/","alternate","200","OK"
"https://leiomyosarcoma.info/comments/feed/","alternate","200","OK"
"https://leiomyosarcoma.info/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fleiomyosarcoma.info%2Fdirect-access-to-clinical-trial-site-links-by-sarcoma-centers%2F","alternate","200","OK"
"https://leiomyosarcoma.info/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fleiomyosarcoma.info%2Fdirect-access-to-clinical-trial-site-links-by-sarcoma-centers%2F&format=xml","alternate","200","OK"
"https://leiomyosarcoma.info/wp-json/","https://api.w.org/","200","OK"
"https://leiomyosarcoma.info/wp-json/wp/v2/pages/1255","alternate","200","OK"
